term_localName,label,definition,usage,examples,type,tdwgutility_organizedInClass,tdwgutility_required,tdwgutil_repeatable,tdwgutil_xpath,deprecated_xpath,parent,term_created,term_modified,version_history
Unit-Citation,Citation,"A citation for the dataset, indicating how this unit record should be attributed if used [OBIF 1.0].",,,Class,Unit-Legal,True,True,/DataSets/DataSet/Units/Unit/IPRStatements/Citations/Citation,,Unit-Citations,2005-09-09,2005-09-09,
Unit-Citation-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,Unit-Legal,True,False,/DataSets/DataSet/Units/Unit/IPRStatements/Citations/Citation/@language,,Unit-Citation,2005-09-09,2005-09-09,
Unit-Citation-Text,Text,"A concise representation of the citation for the unit record. It is recommended that this be as short as possible, but actual length is unconstrained.",,,Property,Unit-Legal,True,False,/DataSets/DataSet/Units/Unit/IPRStatements/Citations/Citation/Text,,Unit-Citation,2005-09-09,2005-09-09,
Unit-Citation-Details,Details,"Details related to the citation for the unit record. This is optional text of unconstrained length, elaborating details of the citation text.",,,Property,Unit-Legal,False,False,/DataSets/DataSet/Units/Unit/IPRStatements/Citations/Citation/Details,,Unit-Citation,2005-09-09,2005-09-09,
Unit-Citation-URI,URI,An optional resource on the net providing details related to the citation for the unit record. This element may be used as an alternative to the long text.,,,Property,Unit-Legal,False,False,/DataSets/DataSet/Units/Unit/IPRStatements/Citations/Citation/URI,,Unit-Citation,2005-09-09,2005-09-09,
UnitContentContacts,UnitContentContacts,A container element for several administrative contacts for the unit record.,,,Class,Unit-Contact,False,False,/DataSets/DataSet/Units/Unit/UnitContentContacts,,Unit,2005-09-09,2005-09-09,
UnitContentContact,UnitContentContact,"Questions and feedback about data, or restrictions on use of the data contained in the unit record should be directed to the contact given here.<br/><br/>If present, this contact overrides a content contact on the level of the dataset.",,,Class,Unit-Contact,True,True,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact,,UnitContentContacts,2005-09-09,2005-09-09,
UnitContentContact-@preferred,preferred,The contact marked as preferred by means of this attribute should be the first approached. The other contacts named should be regarded as alternate contacts.,,true,Property,Unit-Contact,False,False,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/@preferred,,UnitContentContact,2005-09-09,2005-09-09,
UnitContentContact-Organisation,Organisation,Organisation representing the administrative contact for the unit record.,,,Class,Unit-Contact,False,False,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/Organisation,,UnitContentContact,2005-09-09,2005-09-09,
UnitContentContact-OrganisationGUID,OrganisationGUID,A globally unique identifier for the organisation.,,,Property,Unit-Contact,False,False,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/Organisation/OrganisationGUID,,UnitContentContact-Organisation,2007-06-13,2007-06-13,added in 2.06b
UnitContentContact-Organisation-Name,Name,A container element for several language-specific representations of the full organisation or corporate name for the administrative contact for the unit record. (vCard: Org.Org-Name). <br/><br/>The Label mechanism also supports acronyms/abbreviations (no vCard equivalent!).,,en: Botanical Garden of ...; de: Botanischer Garten von ...,Class,Unit-Contact,True,False,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/Organisation/Name,,UnitContentContact-Organisation,2005-09-09,2005-09-09,
UnitContentContact-Organisation-Representation,Representation,"A language-specific label representation of the organisation name of the administrative contact for the unit record. The attribute @language lets you specify the language, the Representation mechanism makes it possible to ensure that only one name per language is specified.",,,Class,Unit-Contact,True,True,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/Organisation/Name/Representation,,UnitContentContact-Organisation-Name,2005-09-09,2005-09-09,
UnitContentContact-Organisation-Representation-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,Unit-Contact,True,False,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/Organisation/Name/Representation/@language,,UnitContentContact-Organisation-Representation,2005-09-09,2005-09-09,
UnitContentContact-Organisation-Text,Text,Label text in a specific language representing the organisation of the administrative contact for the unit record.,,,Property,Unit-Contact,True,False,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/Organisation/Name/Representation/Text,,UnitContentContact-Organisation-Representation,2005-09-09,2005-09-09,
UnitContentContact-Organisation-Abbreviation,Abbreviation,"Label abbreviation representing the organisation of the administrative contact for the unit record. <br/><br/>Restricted to 50 characters maximum length, including blanks (shorter recommended!). <br/><br/>Label abbreviations are especially important when displaying information in a tabular format.",,,Property,Unit-Contact,False,False,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/Organisation/Name/Representation/Abbreviation,,UnitContentContact-Organisation-Representation,2005-09-09,2005-09-09,
UnitContentContact-Organisation-OrgUnits,OrgUnits,A container element for several organisation units that the administrative contact for the unit record represents or to which the contact may belong. (vCard: Org-Unit),,,Class,Unit-Contact,False,False,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/Organisation/OrgUnits,,UnitContentContact-Organisation,2005-09-09,2005-09-09,
UnitContentContact-Organisation-OrgUnit,OrgUnit,"The organisational unit or subdivision with the organization, e.g. a department or working group.",,,Property,Unit-Contact,True,True,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/Organisation/OrgUnits/OrgUnit,,UnitContentContact-Organisation-OrgUnits,2005-09-09,2005-09-09,
UnitContentContact-Organisation-OrgUnit-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,Unit-Contact,False,False,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/Organisation/OrgUnits/OrgUnit/@language,,UnitContentContact-Organisation-OrgUnit,2005-09-09,2005-09-09,
UnitContentContact-Person,Person,Person representing the administrative contact for the unit record.,,,Class,Unit-Contact,False,False,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/Person,,UnitContentContact,2005-09-09,2005-09-09,
UnitContentContact-FullName,FullName,The name of person as normally used representing the unit record's administrative contact. <br/><br/>The name may include titles.,,Professor James Hundredwidth; Aylstone T. McTrace,Property,Unit-Contact,True,False,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/Person/FullName,,UnitContentContact-Person,2005-09-09,2005-09-09,
UnitContentContact-SortingName,SortingName,The full name of the administrative contact for the unit record in a form appropriate for sorting alphabetically. <br/><br/>The form consists of the following: Family name first followed by a comma then a space then given names or initials separated by a space.,,"Hundredwidth, James; McTrace, Aylstone T.",Property,Unit-Contact,False,False,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/Person/SortingName,,UnitContentContact-Person,2005-09-09,2005-09-09,
UnitContentContact-AtomisedName,AtomisedName,Atomized name of the administrative contact for the unit record.,,,Class,Unit-Contact,False,False,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/Person/AtomisedName,,UnitContentContact-Person,2005-09-09,2005-09-09,
UnitContentContact-InheritedName,InheritedName,"The inherited name of the administrative contact for the unit record. This may consist of family names, generational names, a clan name, parents or grandparents personal names, etc. The inherited name (this being the lastname in western cultures) may be compound (e.g. 'Fischer von Waldheim', 'da Selva', 'Silvano Morales'). Depending on culture, the inherited name is not necessarily the name of the parents nor common to a married couple. Therefore, 'family name' should be avoided even though used in vCard (vCard: N-Family).",,,Property,Unit-Contact,True,False,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/Person/AtomisedName/InheritedName,,UnitContentContact-AtomisedName,2005-09-09,2005-09-09,
UnitContentContact-AtomisedName-Prefix,Prefix,"The prefix to the unit record administrative contact's inherited name. The prefix should be output before the name, but is usually not included in sorting. Compare Title for 'Prof', 'Dr.' (vCard: N-Prefix)",,von; Lord,Property,Unit-Contact,False,False,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/Person/AtomisedName/Prefix,,UnitContentContact-AtomisedName,2005-09-09,2005-09-09,
UnitContentContact-AtomisedName-Suffix,Suffix,"The suffix for the name of the administrative contact for the unit record. The suffix should be output after the name, regardless of whether it is in sorting sequence (Inherited, Given) or not. <br/><br/>Examples: 'Jun.', 'III.'. (vCard: N-Suffix)",,,Property,Unit-Contact,False,False,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/Person/AtomisedName/Suffix,,UnitContentContact-AtomisedName,2005-09-09,2005-09-09,
UnitContentContact-GivenNames,GivenNames,"The personal name of the administrative contact for the unit record. The name given to the person as a personal name (the first or christian name in western cultures, including middle initials). The given name may contain several words. It is applicable only to people (vCard: N-Given + vCard: N-Middle).",,Wen; Jerry B.; Maria Teresa; Ichiro; Hans-Werner,Property,Unit-Contact,False,False,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/Person/AtomisedName/GivenNames,,UnitContentContact-AtomisedName,2005-09-09,2005-09-09,
UnitContentContact-PreferredName,PreferredName,The preferred name of the administrative contact for the unit record. The preferred name may differ from the first given name (vCard: Nickname).,,Bob,Property,Unit-Contact,False,False,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/Person/AtomisedName/PreferredName,,UnitContentContact-AtomisedName,2005-09-09,2005-09-09,
UnitContentContact-Roles,Roles,A container element for several roles of the administrative contact for the unit record.,,,Class,Unit-Contact,False,False,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/Roles,,UnitContentContact,2005-09-09,2005-09-09,
UnitContentContact-Role,Role,Title for the role of the person or organisation that is the administrative contact for the unit record. This element can be used to provide a title such as when no individual person is named.,,Database Administrator; Curator,Property,Unit-Contact,True,True,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/Roles/Role,,UnitContentContact-Roles,2005-09-09,2005-09-09,
UnitContentContact-Role-@language,language,"The language of the text in the element carrying this attribute, according to RFC 3066.","The value UND (undefined) should be used if the language cannot be set for some reason. However, use of UND is discouraged by the W3 consortium.\n\nRecommended values are defined by the following reference: H. Alvestrand, ed. RFC 3066: Tags for the Identification of Languages 1995. Available at: http://www.ietf.org/rfc/rfc3066.txt .\n",en; en-US; UND,Property,Unit-Contact,False,False,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/Roles/Role/@language,,UnitContentContact-Role,2005-09-09,2005-09-09,
UnitContentContact-Addresses,Addresses,A container element for several contact addresses for the administrative contact for the unit record (person or organisation).,,,Class,Unit-Contact,False,False,/DataSets/DataSet/Units/Unit/UnitContentContacts/UnitContentContact/Addresses,,UnitContentContact,2005-09-09,2005-09-09,
